date,close,volume,open,high,low
21-07-2016,55.8,32752350,55.98,56.23,55.76
20-07-2016,55.91,89835200,56.15,56.84,55.53
19-07-2016,53.09,51870970,53.71,53.9,52.93
18-07-2016,53.96,31087650,53.7,54.34,53.55
15-07-2016,53.7,31986450,53.95,54,53.21
14-07-2016,53.74,24535370,53.84,53.99,53.58
13-07-2016,53.51,25334860,53.56,53.86,53.18
12-07-2016,53.21,27312600,52.94,53.4,52.785
11-07-2016,52.59,21894550,52.5,52.83,52.47
08-07-2016,52.3,28390820,51.73,52.36,51.55
07-07-2016,51.38,19582210,51.42,51.61,51.07
06-07-2016,51.38,28165990,50.78,51.54,50.39
05-07-2016,51.17,24781550,50.83,51.28,50.74
01-07-2016,51.16,21398770,51.13,51.72,51.07
30-06-2016,51.17,28524020,50.72,51.3,50.5
29-06-2016,50.54,31287260,49.91,50.72,49.8
28-06-2016,49.44,38132040,48.92,49.47,48.67
27-06-2016,48.43,50308070,49.1,49.1466,48.035
24-06-2016,49.83,133456500,49.81,50.94,49.52
23-06-2016,51.91,28960330,51.28,52.06,51.15
22-06-2016,50.99,28801660,51.08,51.46,50.9525
21-06-2016,51.19,34075570,50.2,51.43,50.16
20-06-2016,50.07,35597220,50.64,50.83,50.03
17-06-2016,50.13,45675100,50.41,50.43,49.82
16-06-2016,50.39,31104460,49.52,50.47,49.5068
15-06-2016,49.69,33718830,49.78,50.12,49.69
14-06-2016,49.83,42568290,49.9,50.1,49.57
13-06-2016,50.14,83206230,49.58,50.715,49.06
10-06-2016,51.48,25833020,51.05,52.05,51.04
09-06-2016,51.62,20303990,52,52,51.49
08-06-2016,52.04,21127190,52.02,52.44,51.87
07-06-2016,52.1,20798030,52.24,52.73,52.1
06-06-2016,52.13,18137760,51.99,52.35,51.89
03-06-2016,51.79,23254530,52.38,52.42,51.6
02-06-2016,52.48,22682220,52.64,52.74,51.835
01-06-2016,52.85,25104350,52.44,52.95,52.44
31-05-2016,53,37461550,52.26,53,52.08
27-05-2016,52.32,17671620,51.92,52.32,51.77
26-05-2016,51.89,24308620,51.93,51.9793,51.36
25-05-2016,52.12,24176970,51.92,52.49,51.79
24-05-2016,51.59,34726410,50.7,51.71,50.4
23-05-2016,50.03,26110160,50.6,50.68,49.98
20-05-2016,50.62,23770620,50.48,51.22,50.4
19-05-2016,50.32,23784750,50.47,50.62,49.82
18-05-2016,50.81,24861480,50.48,51.14,50.3
17-05-2016,50.51,27790370,51.72,51.73,50.36
16-05-2016,51.83,19962750,50.8,51.96,50.75
13-05-2016,51.08,22439560,51.44,51.895,51.04
12-05-2016,51.51,24101640,51.2,51.81,50.92
11-05-2016,51.05,24026140,51.13,51.78,51
10-05-2016,51.02,22871860,50.33,51.1,50.19
09-05-2016,50.07,17883360,50.49,50.585,50
06-05-2016,50.39,24772020,49.92,50.39,49.66
05-05-2016,49.94,25386690,49.87,50.3,49.73
04-05-2016,49.87,24249670,49.84,50.06,49.46
03-05-2016,49.78,26445230,50.34,50.41,49.6
02-05-2016,50.61,33105170,50,50.75,49.7799
29-04-2016,49.87,48391580,49.35,50.25,49.35
28-04-2016,49.9,43108350,50.62,50.77,49.56
27-04-2016,50.94,43301480,51.48,51.5,50.55
26-04-2016,51.44,33513780,52.26,52.35,51.09
25-04-2016,52.11,33124870,51.78,52.13,51.63
22-04-2016,51.78,126793100,51.91,52.4297,50.77
21-04-2016,55.78,38182900,55.8,56.23,55.415
20-04-2016,55.59,36169280,56.29,56.5,55.485
19-04-2016,56.39,29566220,56.63,56.77,55.68
18-04-2016,56.46,23758570,55.49,56.59,55.21
15-04-2016,55.65,28462970,55.3,55.92,55.11
14-04-2016,55.36,20875260,55.22,55.575,55.07
13-04-2016,55.35,20813640,55.12,55.4375,54.89
12-04-2016,54.65,24874410,54.37,54.78,53.76
11-04-2016,54.31,21400400,54.49,55.15,54.3
08-04-2016,54.42,22159630,54.67,55.28,54.32
07-04-2016,54.46,19221270,54.87,54.91,54.23
06-04-2016,55.12,21072150,54.36,55.2,54.21
05-04-2016,54.56,19261620,55.19,55.3,54.46
04-04-2016,55.43,18908300,55.43,55.66,55
01-04-2016,55.57,24383590,55.05,55.61,54.57
31-03-2016,55.23,26353570,54.95,55.59,54.86
30-03-2016,55.05,22992090,54.93,55.64,54.9
29-03-2016,54.71,23913950,53.66,54.86,53.45
28-03-2016,53.54,17018120,54.21,54.29,53.33
24-03-2016,54.21,18967510,53.84,54.33,53.73
23-03-2016,53.97,20123800,54.11,54.24,53.74
22-03-2016,54.07,23105140,53.61,54.25,53.46
21-03-2016,53.86,23920160,53.25,53.9298,52.93
18-03-2016,53.49,67622520,54.92,54.97,53.445
17-03-2016,54.66,28193010,54.21,55,54
16-03-2016,54.35,31679130,53.45,54.6,53.4
15-03-2016,53.59,21011480,52.75,53.59,52.74
14-03-2016,53.17,24079770,52.71,53.59,52.63
11-03-2016,53.07,32267360,53,53.07,52.38
10-03-2016,52.05,38385600,52.93,52.94,51.16
09-03-2016,52.84,28238270,51.89,52.85,51.855
08-03-2016,51.65,33822940,50.8,52.13,50.595
07-03-2016,51.03,38426220,51.56,51.8,50.58
04-03-2016,52.03,33033010,52.4,52.45,51.71
03-03-2016,52.35,24423260,52.97,52.97,51.78
02-03-2016,52.95,29269240,52.41,52.96,52.155
01-03-2016,52.58,32999880,50.97,52.59,50.9199
29-02-2016,50.88,31632160,51.35,51.65,50.66
26-02-2016,51.3,35945290,52.6,52.68,51.1
25-02-2016,52.1,26906570,51.73,52.1,50.61
24-02-2016,51.36,32918630,50.69,51.5,50.2
23-02-2016,51.18,28866480,52.34,52.37,50.98
22-02-2016,52.65,24992030,52.28,53,52.28
19-02-2016,51.82,33531580,51.97,52.28,51.53
18-02-2016,52.19,27016950,52.33,52.95,52.1
17-02-2016,52.42,40779580,51.49,52.77,51.45
16-02-2016,51.09,36460400,50.9,51.09,50.13
12-02-2016,50.5,34216160,50.25,50.68,49.75
11-02-2016,49.69,48855890,48.68,50.11,48.51
10-02-2016,49.71,38220450,49.89,50.39,49.52
09-02-2016,49.28,46589450,49.02,50.24,48.67
08-02-2016,49.41,58393070,49.55,49.57,48.19
